scholar_indx,name,grade,parents,spouse,siblings,children,birth_date_place,places_of_stay,death_date_place,teachers,students,area_of_interest,tags,books,students_inds,teachers_inds,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,gender,simplename,fullname,relationship,specified_teachers,specified_students,info,hadiths,generation,notes
1,Prophet Muhammad(saw) ( محمّد صلّی اللہ علیہ وآلہ وسلّم ( رضي الله عنه,Rasool Allah,'Abdullah ibn 'Abd al-Muttalib [9991] / Amina bint Wahb b 'Abd Munaf bin Zuhrah,"Khadijah [51] , Sawda bint Zam'a [52] , 'Aisha bint Abi Bakr [53] , Hafsa bint Umar [54] , Zaynab bint Khazeemah [55] , Umm Salamah [56] , Zaynab bint Jahsh [57] , Juwayriya bint al-Harith [58] , Umm Habibah bint Abi Sufyan [59] , Safiyya bint Huyayy [60] , Maymuna bint al-Harith [61] , Maria al-Qibtiyya [62]",NA,"al-Qasim bin Muhammad [516] , Zaynab bint Muhammad [97] , Ruqayyah bint Muhammad [102] , Umm Kulthum bint Muhammad [94] , Fatima bint Muhammad [63] , 'Abdullah bin Muhammad [517] , Ibrahim bin Muhammad [518]",53 BH/570 CE (9th Rabi' awwal) (Makkah),"Makkah, Medina",11 AH/632 CE (12th Rabi' awwal (Medina)[ Natural ],NA,"Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Talha ibn 'Ubaidullah [6] , Zubayr ibn al-Awwam [7] , 'Abdur Rahman Ibn 'Awf [8] , Sa'd ibn Abi Waqqas [9] , Abu 'Ubaidah ibn al-Jarrah [10] , ibn Mas'ud [16] , ibn Abbas [17] , ibn Umar [18] , Anas bin Malik [19] , 'Aisha bint Abi Bakr [53] , Umm Salamah [56]","Tafsir/Quran, Recitation/Quran, Hadith, Commander, Reformer","Quraish [Quraish] , B.Hashim [B.Hashim] , Prophet [Prophet] , Rasool [Rasool] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq]",NA,"2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 53, 56",NA,"9th Rabi' awwal, Makkah","['53 BH', '570 CE']",53,570,11,632,12th Rabi' awwal (Medina,Natural,male,Prophet Muhammad,"Prophet Muhammad, peace and blessings be upon him",teacher,,53,,,,
13,Abu Hurairah ( أبو هريرة - عبد الرحمن بن صخر الدوسي  ( رضي الله عنه,Comp.(RA) [1st Generation],/ Umaima/Maymuna,Basra bint Ghazwan [3656],NA,Daughter,"12 BH/603 CE (Baha, Yemen)","Makkah, Medina, Yemen, Bahrain",59 AH/681 CE (Medinah)[ Natural ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Fadl ibn al-'Abbas [135] , Ubayy ibn Ka'b [39] , Usamah ibn Zayd [50] , 'Aisha bint Abi Bakr [53] , نضرة بن أبي نضرة الغفاري, Ka'b al-Ahbar [4058]","Mahrar bin Abi Huraira [12496] , ibn Abbas [17] , ibn Umar [18] , Anas bin Malik [19] , Wathla bin al-'Asqa' [4049] , Jabir ibn 'Abdullah [34] , Marwan bin al-Hakam bin Abi al-'As [858] , Qubaysa bin Zuwayb [5232] , Sa'id ibn al-Musayyib [11002] , Salman al-Aghar Abu 'Abdullah [11171] , Qays bin Abi Hazim [11046] , Malik bin Abi 'Amir [11443] , Abu Umama bin Sahl [405] , Abu Idrees al-Khulani [11027] , Abu 'Uthman al-Nahdi [11113] , Abu Sufyan [11451] , Abu Rafi' al-Sa'agh [11226] , Abu Zara' bin 'Amr /Harm [11406] , al-Aghr Abu Muslim [11829] , ابن فارض, Basr bin Sa'id al-Madni [11153] , Bashayr bin Nahayk [11266] , بعجة الجهني, Thabit bin Ayad al-Ahnf [11677] , Hafs bin 'Asim bin 'Umar [11420] , حميد, Abu Salama bin 'Abdur Rahman [10567] , Hameed bin 'Abdur Rahman [11280] , Hanzalah bin 'Ali bin al-Aslami [11842] , Khbab al-Madni Sahb al-Mqswrh [11843] , Khalas bin 'Amr al-Hajri [11283] , al-Hakam bin Myna'a al-Ansari Mwlahm [11840] , Khalid bin Ghlaq [10907] , Ziyad bin Ryah [11850] , Salim bin 'Abdullah bin 'Umar [11011] , Zararah bin Awfa al-'Amiri al-Harshi [11284] , Salm Abu al-Ghyth al-Madni [11165] , Salm bin 'Abdullah al-Nasri [11852] , Kaysan Abu Sa'id al-Muqbari [11212] , Sa'id bin Abi Sa'id (Kaysan) [11168] , al-Hasan al-Basri [11016] , Ibn Sirin [11035] , Sa'id bin 'Amr bin Sa'id bin al-Aas [11509] , Sulayman ibn Yasar [11005] , Sa'id bin Yasar, Abu al-Hubab [11170] , Sinan bin Abi Sinan [11511] , 'Amir bin Sa'd ibn Abi Waqqas [10554] , Sharih bin Hani' al-Harithi [10774] , Shfa bin Mat' [18421] , Tawus bin Kaysan [11053] , 'Ikrama [11023] , Mujahid bin Jabir [11028] , 'Ata' bin Abi Rabah [11029] , 'Amir al-Sha'bi [11052] , 'Abdullah bin Rbah [11865] , 'Abdullah bin Shaqayq al-Aqayli [10694] , Tha'laba bin Sa'ayr [5003] , أبو الوليد عبد الله بن الحارث المصري, Sa'id bin al-Harith bin Abi Sa'id [11167] , Sa'id bin Sm'an al-Ansari [12135] , Sa'id bin Marjana [11571]","Narrator [ ع  -  صحابة ], Fiqh","Yemeni [Yemeni] , Dausi [Dausi] , Client [Client] , Late Muslim [Late%20Muslim]",NA,"12496, 17, 18, 19, 4049, 34, 858, 5232, 11002, 11171, 11046, 11443, 405, 11027, 11113, 11451, 11226, 11406, 11829, 11153, 11266, 11677, 11420, 10567, 11280, 11842, 11843, 11283, 11840, 10907, 11850, 11011, 11284, 11165, 11852, 11212, 11168, 11016, 11035, 11509, 11005, 11170, 11511, 10554, 10774, 18421, 11053, 11023, 11028, 11029, 11052, 11865, 10694, 5003, 11167, 12135, 11571","1, 2, 3, 135, 39, 50, 53, 4058","Baha, Yemen","['12 BH', '603 CE']",12,603,59,681,Medinah,Natural,male,Abu Hurayrah,Abu Hurayrah Abdur-Rahman ibn Sakhr,student,53,,,,Companion,
17,ibn Abbas ( عبد الله بن العباس بن عبد المطلب  الحبر ( رضي الله عنه,Comp.(RA) [1st Generation],al-'Abbas ibn 'Abd al-Muttalib [100] / Umm Fadl Lubaba bint al-Harith [156],Zar'ah bint Mishrah b. Madi-Karib,"Fadl ibn al-'Abbas [135] , 'Ubaydallah bin al-'Abbas [133] , Qutham ibn al-'Abbas [128] , Ma'bad bin al-'Abbas [520] , 'Abdur Rahman ibn al-'Abbas [521] , Umm Habiba ibn al-'Abbas [522]","'Ali bin 'Abdullah bin 'Abbas [10949] , 'Abbas bin 'Abdullah bin al-Abbas [12977] , Muhammad bin 'Abdullah bin 'Abbas [18922] , 'Ubaydallah bin 'Abdullah bin al-Abbas [16675] , Al-Fadl, Lubabah, Asma",3 BH/619 CE (Makkah),"Makkah, Medina",68 AH/687 CE (Ta'if)[ Natural ],"Muhammad (saw) [1] , Prophet Muhammad(saw) [1] , al-'Abbas ibn 'Abd al-Muttalib [100] , Umm Fadl Lubaba bint al-Harith [156] , Fadl ibn al-'Abbas [135] , Maymuna bint al-Harith [61] , Abu Bakr As-Siddique [2] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , 'Abdur Rahman Ibn 'Awf [8] , Mu'adh ibn Jabal [32] , Abu Dharr al-Ghaffari [23] , Ubayy ibn Ka'b [39] , Tamim al-Dari [382] , Khalid bin al-Walid [22] , Usamah ibn Zayd [50] , Hamal bin Malik bin al-Nabghah [4124] , al-Sa'b bin Juthama bin Qays [3661] , 'Ammar ibn Yasir [25] , Abu Sa'id al-Khudri [38] , Abu Talha Ansari [229] , Abu Hurairah [13] , Mu'awiya ibn Abu Sufyan [27] , Abu Sufyan ibn Harb [116] , 'Aisha bint Abi Bakr [53] , Asma' bint Abi Bakr [70] , Juwayriya bint al-Harith [58] , Sawda bint Zam'a [52] , Umm Hani bint Abi Talib [198] , Umm Salamah [56] , Several Others","Nafie' [11014] , al-Qasim ibn Muhammad [10535] , 'Ali bin 'Abdullah bin 'Abbas [10949] , Muhammad bin 'Ali bin 'Abd. bin 'Abbas [10961] , ibn Umar [18] , Tha'lba bin al-Hakam [4133] , al-Miswar bin Makhrama bin Nawfal [2201] , Abu al-Tufayl, 'Amir bin Wathla [3660] , others","Tafsir/Quran, Recitation/Quran, Narrator [ ع  -  صحابة ], Fiqh","Quraish [Quraish] , B.Hashim [B.Hashim] , Early Muslim [Early%20Muslim] , Child [Child] , Cousin [Cousin]",NA,"11014, 10535, 10949, 10961, 18, 4133, 2201, 3660","1, 1, 100, 156, 135, 61, 2, 4, 5, 8, 32, 23, 39, 382, 22, 50, 4124, 3661, 25, 38, 229, 13, 27, 116, 53, 70, 58, 52, 198, 56",Makkah,"['3 BH', '619 CE']",3,619,68,687,Ta'if,Natural,male,`Abdullah ibn `Abbas,`Abdullah ibn `Abbas,student,53,,,,Companion,
18,ibn Umar ( عبد الله بن عمر بن الخطاب ( رضي الله عنه,Comp.(RA) [1st Generation],'Umar ibn al-Khattab [3] / Zaynab bint Maz'un [124],"Safiyya bint Abi 'Ubaid al-Thaqafi [11811] , Umm Walad, Umm Walad","Hafsa bint Umar [54] , 'Abdur Rahman bin 'Umar (Akbar) [560]","Abu Bakr, Abu 'Ubaida, Waqid bin 'Abdullah ibn 'Umar [11813] , 'Abdullah bin 'Abdullah Ibn 'Umar [11814] , 'Umar bin 'Abdullah Ibn 'Umar [11815] , Hafsa, Sawda, Bilal bin 'Abdullah bin 'Umar [11816] , Zayd bin 'Abdullah bin 'Umar [11819] , Salim bin 'Abdullah bin 'Umar [11011] , 'Ubaidullah bin 'Abdullah bin 'Umar [11817] , Hamza bin 'Abdullah bin 'Umar [11818]",10 BH/613 CE (Makkah),"Makkah, Medina",74 AH/693 CE (Makkah)[ Natural ],"Muhammad (saw) [1] , 'Umar ibn al-Khattab [3] , Zayd ibn al-Khattab [114] , Hafsa bint Umar [54] , Abu Bakr As-Siddique [2] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Sa'id bin Zayd [11] , Bilal ibn Ribah [24] , Zayd ibn Thabit [49] , Suhayb bin Sinan ar-Rumi [182] , ibn Mas'ud [16] , 'Aisha bint Abi Bakr [53] , Rafi' bin Khadij bin Rafi' [1986]","Waqid bin 'Abdullah ibn 'Umar [11813] , 'Abdullah bin 'Abdullah Ibn 'Umar [11814] , 'Umar bin 'Abdullah Ibn 'Umar [11815] , Bilal bin 'Abdullah bin 'Umar [11816] , Zayd bin 'Abdullah bin 'Umar [11819] , Salim bin 'Abdullah bin 'Umar [11011] , 'Ubaidullah bin 'Abdullah bin 'Umar [11817] , Hamza bin 'Abdullah bin 'Umar [11818] , Nephews, Grandsons, Sa'id ibn al-Musayyib [11002] , Nafie' [11014] , al-Qasim ibn Muhammad [10535] , Others","Tafsir/Quran, Recitation/Quran, Narrator [ ع  -  صحابة ], Fiqh, Preacher","Quraish [Quraish] , B.'Adi [B.'Adi] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Ridwan [Ridwan] , Khandaq [Khandaq] , Makki [Makki]",NA,"11813, 11814, 11815, 11816, 11819, 11011, 11817, 11818, 11002, 11014, 10535","1, 3, 114, 54, 2, 4, 5, 11, 24, 49, 182, 16, 53, 1986",Makkah,"['10 BH', '613 CE']",10,613,74,693,Makkah,Natural,male,`Abdullah ibn `Umar,`Abdullah ibn `Umar ibn al-Khattab,student,53,,,,Companion,
28,'Amr bin al-'Aas ( عمرو بن العاص بن وائل ( رضي الله عنه,Comp.(RA) [1st Generation],al-'As ibn Wa'il / Layla bint Harmalah,"Rayta bint Munabbih bin al-Hajjaj [417] , Umm Kulthum bint 'Uqba [95]",Hisham ibn al-'Aas [144],'Abdullah bin 'Amr bin al-'Aas [29],50 BH/573 CE (Makkah),"Makkah, Medinah, Egypt, Syria",~43 AH/664 CE or 51 AH (Egypt)[ Natural ],"Muhammad (saw) [1] , 'Aisha bint Abi Bakr [53]","'Abdullah bin 'Amr bin al-'Aas [29] , Abu Qays Client Of 'Amr bin al-Aas [11452] , Qays bin Abi Hazim [11046] , Abu 'Uthman al-Nahdi [11113] , 'Ali bin Rabah bin Qasayr [10870] , 'Abdur Rahman bin Shmas'h [10867] , 'Urwa ibn al-Zubayr [10511] , Muhammad bin Ka'b bin Sulaym al-Qarzi [11221] , 'Ammara bin Khuzayma bin Thabit [19817]","Recitation/Quran, Narrator [ ع  -  صحابي ], Commander, Governor","Quraish [Quraish] , B.Sahm [B.Sahm] , Late Muslim [Late%20Muslim] , Messenger [Messenger] , Scribe [Scribe]",NA,"29, 11452, 11046, 11113, 10870, 10867, 10511, 11221, 19817","1, 53",Makkah,"['50 BH', '573 CE']",50,573,43,664,Egypt,Natural,male,`Amr ibn al-`As,`Amr ibn al-`As,student,53,,,,Companion,
41,Abu Musa al-Asha'ari ( أبو موسى الأشعري ( رضي الله عنه,Comp.(RA) [1st Generation],'Abdullah ibn Qays bin Saleem / Zabiya bint Wahb [440],"Umm Khultum bint Fadl ibn al-'Abbas [534] , Umm 'Abdullah bint Abi Duma [5392]","Abu Burda al-Asha'ari [407] , Abu Rahm bin Qays al-Asha'ari [3000] , Majdhi bin Qays al-Asha'ari [3001] , MUhammad bin Qays al-Asha'ari [3002]","Ibrahim bin Abi Musa al-Asha'ari [409] , Abu Bakr bin Abi Musa al-Asha'ari [11900] , Abu Barda bin Abi Musa al-Asha'ari [11901] , Musa bin Abi Musa al-Asha'ari [11902]",(Yemen),"Yemen, Makkah, Medina, Basra, Kufa",~43 or 52 AH /662 or 672 CE (Makkah)[ Natural ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Ali ibn Abi Talib [5] , ibn Abbas [17] , Ubayy ibn Ka'b [39] , 'Ammar ibn Yasir [25] , Mu'adh ibn Jabal [32]","Ibrahim bin Abi Musa al-Asha'ari [409] , Abu Bakr bin Abi Musa al-Asha'ari [11900] , Abu Barda bin Abi Musa al-Asha'ari [11901] , Musa bin Abi Musa al-Asha'ari [11902] , Umm 'Abdullah bint Abi Duma [5392] , Anas bin Malik [19] , Abu Sa'id al-Khudri [38] , Tariq bin Shahab [3680] , Abu 'Abdur Rahman al-Salmi [11359] , Zar bin Habaysh bin Habasha [11337] , Zayd bin Wahb al-Jhny [11341] , 'Ubaid bin 'Umayr bin Qatada [11259] , 'Auf bin Malik bin Nadlah [10805] , Abu al-Aswad al-Du'ali [11114] , Sa'id ibn al-Musayyib [11002] , Abu 'Uthman al-Nahdi [11113] , Qays bin Abi Hazim [11046] , Abu Rafi' al-Sa'agh [11226] , Abu 'Ubaida bin 'Abdullah bin Mas'ud [15681] , Msrwq bin Aws [18984] , Hzyl bin Shrhbyl al-Awdy al-Kwfy [11660] , Murrah bin Shrahayl al-Hamdani [11391] , Htan bin 'Abdullah [10676] , Raba'i bin Harash bin Jahsh [11334] , Zahdam bin Madrab, Abu Muslim [11589] , Shaqayq bin Salmah al-Asadi [11353] , Safwan bin Mhrz bin Ziyad [11693] , al-Aswad bin Yazid [11054] , 'Abdur Rahman bin Yazid al-Nakha'i [11055] , others","Recitation/Quran, Narrator [ ع  -  صحابي ], Fiqh, Commander","B.Tamim [B.Tamim] , al-Asha'ri [al-Asha'ri] , Early Muslim [Early%20Muslim] , Abyssinia [Abyssinia] , Messenger [Messenger] , Imam [Imam]",NA,"409, 11900, 11901, 11902, 5392, 19, 38, 3680, 11359, 11337, 11341, 11259, 10805, 11114, 11002, 11113, 11046, 11226, 15681, 18984, 11660, 11391, 10676, 11334, 11589, 11353, 11693, 11054, 11055","1, 2, 3, 5, 17, 39, 25, 32",Yemen,[],NA,NA,52,672,Makkah,Natural,male,Abu Musa al-Ash`ari,Abu Musa al-Ash`ari,student,53,,,,Companion,
53,Aisha bint Abi Bakr ( أمّ المؤمنين عائشة بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],Abu Bakr As-Siddique [2] / Umm Ruman [91],Prophet Muhammad(saw) [1],'Abdur Rahman bin Abi Bakr [107],NA,9 BH/614 CE (Makkah),"Makkah, Medina",57 AH/678 CE (17 Ramadan) (Medina)[ Natural ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Talha ibn 'Ubaidullah [6] , Sa'd ibn Abi Waqqas [9] , Fatima bint Muhammad [63] , Judhama bint Jandal al-Asadiyya [961]","Asma' bint Abi Bakr [70] , 'Abdullah ibn al-Zubayr [106] , Abu Hurairah [13] , ibn Abbas [17] , ibn Umar [18] , Abu Musa al-Asha'ari [41] , 'Amr bin al-'Aas [28] , al-Qasim ibn Muhammad [10535] , 'Urwa ibn al-Zubayr [10511] , 'Abdullah ibn 'Abdur-Rahman ibn Abi Bakr [10520] , Hafsa bint 'Abdur-Rahman ibn Abi Bakr [10521] , Asma bint 'Abdur-Rahman [10522] , Sa'id ibn al-Musayyib [11002] , Others","Recitation/Quran, Tafsir/Quran, Narrator [ ع  -  صحابة ], Fiqh, Seerah","Female [Female] , Quraish [Quraish] , B.Taym [B.Taym] , Mother of the Believers [Mother%20of%20the%20Believers] , Emigrant [Emigrant] , Baqi' [Baqi']",NA,"70, 106, 13, 17, 18, 41, 28, 10535, 10511, 10520, 10521, 10522, 11002","1, 2, 3, 6, 9, 63, 961",Makkah,"['9 BH', '614 CE']",9,614,57,678,"17 Ramadan, Medina",Natural,female,`Aishah bint Abi Bakr,`Aishah bint Abi Bakr,,"1, 2, 3, 6, 9, 63, 961","70, 106, 13, 17, 18, 41, 28, 10535, 10511, 10520, 10521, 10522, 11002, 10504, 10567, 11455",,,Companion,"10504, 10567, 11455 were not originally listed as students - I added them to the specified_students list."
70,Asma' bint Abi Bakr ( أسماء بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],Abu Bakr As-Siddique [2] / Qutaylah bint 'Abdul-'Uzza,Zubayr ibn al-Awwam [7],'Abdullah bin Abi Bakr [110],"'Abdullah ibn al-Zubayr [106] , al-Mundhir bin al-Zubayr [10510] , 'Urwa ibn al-Zubayr [10511] , ''Asim ibn al-Zubayr [10512] , al-Muhajir ibn al-Zubayr [10513] , Khadija al-Kubra bint al-Zubayr [10514] , Ummul Hasan bint al-Zubayr [10515] , 'Aisha bint al-Zubayr [10516]",27 BH (Makkah),"Makkah, Medina",73 AH/692 CE (Medinah)[ Natural ],"Muhammad (saw) [1] ,","'Abdullah ibn al-Zubayr [106] , 'Urwa ibn al-Zubayr [10511] , 'Aabad bin 'Abdullah bin al-Zubair [11250] , 'Abdullah bin 'Urwa [11699] , 'Aabad bin Hamza bin 'Abdullah [10926] , Fatima bint al-Mundhir bin al-Zubayr [10526] , 'Abdullah bin Kysan al-Qurshi [11188] , Wahb bin Kysan al-Quraishi [11231] , Safiyya bint Shayba bin 'Uthman [2802] , ibn Umar [18]","Recitation/Quran, Narrator [ ع  -  صحابة ], Fiqh","Female [Female] , Quraish [Quraish] , B.Taym [B.Taym]",NA,"106, 10511, 11250, 11699, 10926, 10526, 11188, 11231, 2802, 18",1,Makkah,['27 BH'],27,NA,73,692,Medinah,Natural,female,Asma bint Abi Bakr,Asma bint Abi Bakr,student,53,,Sister of `Aishah bint Abi Bakr,,Companion,
106,'Abdullah ibn al-Zubayr ( عبد الله بن الزبير بن العوام ( رضي الله عنه,Comp.(RA) [1st Generation],Zubayr ibn al-Awwam [7] / Asma' bint Abi Bakr [70],NA,"al-Mundhir bin al-Zubayr [10510] , 'Urwa ibn al-Zubayr [10511] , ''Asim ibn al-Zubayr [10512] , al-Muhajir ibn al-Zubayr [10513] , Khadija al-Kubra bint al-Zubayr [10514] , Ummul Hasan bint al-Zubayr [10515] , 'Aisha bint al-Zubayr [10516]","Bakr, Thabit bin 'Abdullah bin al-Zubair [13769] , Hamza bin 'Abdullah bin al-Zubair [13930] , Khabayb bin 'Abdullah bin al-Zubair [18256] , 'Amir bin 'Abdullah [11178] , 'Aabad bin 'Abdullah bin al-Zubair [11250] , 'Umar bin 'Abdullah bin al-Zubair [16836] , Umm 'Amr bint 'Abdullah [19554]",1 AH/624 CE (Medina),"Medinah, Makkah",73 AH (Makkah)[ Martyred  ],"Muhammad (saw) [1] , Zubayr ibn al-Awwam [7] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , 'Aisha bint Abi Bakr [53] , Sufyan bin Abi Zuhyr [5065] , Others","Thabit bin 'Abdullah bin al-Zubair [13769] , Hamza bin 'Abdullah bin al-Zubair [13930] , Khabayb bin 'Abdullah bin al-Zubair [18256] , 'Amir bin 'Abdullah [11178] , 'Aabad bin 'Abdullah bin al-Zubair [11250] , 'Umar bin 'Abdullah bin al-Zubair [16836] , Umm 'Amr bint 'Abdullah [19554] , 'Urwa ibn al-Zubayr [10511]","Recitation/Quran, Commander, Khalifah, Narrator [ ع  -  صحابة ]","Quraish [Quraish] , B.Asad [B.Asad] , Born Muslim [Born%20Muslim] , Child [Child]",NA,"13769, 13930, 18256, 11178, 11250, 16836, 19554, 10511","1, 7, 2, 3, 4, 5, 53, 5065",Medina,"['1 AH', '624 CE']",1,624,73,NA,Makkah,Martyred,male,`Abdullah ibn al-Zubayr,`Abdullah ibn al-Zubayr ibn al-`Awwam,student,53,,Nephew of Aishah bint Abi Bakr,,Companion,
10511,'Urwa ibn al-Zubayr عروة بن الزبير,Follower(Tabi') [3rd Generation],Zubayr ibn al-Awwam [7] / Asma' bint Abi Bakr [70],"Umm Yahya bint al-Hakam b. Abi al-'Aas, Umm Walad, Others","'Abdullah ibn al-Zubayr [106] , al-Mundhir bin al-Zubayr [10510] , ''Asim ibn al-Zubayr [10512] , al-Muhajir ibn al-Zubayr [10513] , Khadija al-Kubra bint al-Zubayr [10514] , Ummul Hasan bint al-Zubayr [10515] , 'Aisha bint al-Zubayr [10516]","Hisham bin 'Urwa [11065] , 'Abdullah bin 'Urwa [11699] , 'Uthman bin 'Urwa bin al-Zubair [11526] , Muhammad bin 'Urwa bin al-Zubair [18935] , Yahya bin 'Urwa bin al-Zubair [11545] , 'Umar, Aswad, 'Ubiadullah, Mus'ab, Umm Yahya, Asma",23 AH/643 CE (Medina),Medina,93 AH/713 CE (Medina)[ Natural ],"Zubayr ibn al-Awwam [7] , 'Abdullah ibn al-Zubayr [106] , Asma' bint Abi Bakr [70] , 'Aisha bint Abi Bakr [53] , Ali ibn Abi Talib [5] , Sa'id bin Zayd [11] , Hakim ibn Hizam [423] , Zayd ibn Thabit [49] , 'Abdullah ibn Ja'far [108] , ibn Abbas [17] , ibn Umar [18] , 'Abdullah bin 'Amr bin al-'Aas [29] , Usamah ibn Zayd [50] , Abu Ayyub al-Ansari [33] , Abu Hurairah [13] , al-Hajjaj bin Malik al-Aslami [4113] , Sufyan bin 'Abdullah bin Rabi'a [5066] , 'Amr bin al-'Aas [28] , Muhammad Ibn Maslama [167] , al-Miswar bin Makhrama bin Nawfal [2201] , al-Mughira ibn Shu'ba [166] , Najiyya bin Jundab bin K'ab [5308] , Abu Hameed al-Sa'idi al-Ansari [1457] , Hisham bin Hakim ibn Hizam [434] , Abu Hurairah [13] , Niyar bin Mukarrurm [5318] , Busra bint Safwan bin Nawfal [861] , Zaynab bint Abi Salamah [244] , 'Umar bin Abi Salamah [246] , Umm Hani bint Abi Talib [198] , Umm Habibah bint Abi Sufyan [59] , Jabir ibn 'Abdullah [34] , al-Nu'man bin Bashir ibn Sa'd [274] , Abu Hameed al-Sa'idi al-Ansari [1457] , 'Ubaidullah bin 'Ady bin al-Khayyar [880] , Marwan bin al-Hakam bin Abi al-'As [858] , Basheer bin Abi Mas'ud [1615] , Hamran bin Aban [11421] , 'Abdullah b. Zama'a [192] , 'Abdur Rahman bin 'Abd al-Qari [3195] , Nafi' bin Jubayr bin Mut'im [11059] , Abu Mrawh al-Ghfary [11551] , Abu Salama bin 'Abdur Rahman [10567] , Several Others","Hisham bin 'Urwa [11065] , 'Abdullah bin 'Urwa [11699] , 'Uthman bin 'Urwa bin al-Zubair [11526] , Muhammad bin 'Urwa bin al-Zubair [18935] , Yahya bin 'Urwa bin al-Zubair [11545] , 'Umar bin 'Abdullah [11529] , Muhammad bin Ja'far bin al-Zubair [11215] , Others","Narrator[Grade:No Doubt] [ ع  -  ثقة ], Fiqh, History, Hadith","Quraish [Quraish] , B.Asad [B.Asad] , Madni [Madni] , Seven Fuqaha [Seven%20Fuqaha] , Imam [Imam]",NA,"11065, 11699, 11526, 18935, 11545, 11529, 11215","7, 106, 70, 53, 5, 11, 423, 49, 108, 17, 18, 29, 50, 33, 13, 4113, 5066, 28, 167, 2201, 166, 5308, 1457, 434, 13, 5318, 861, 244, 246, 198, 59, 34, 274, 1457, 880, 858, 1615, 11421, 192, 3195, 11059, 11551, 10567",Medina,"['23 AH', '643 CE']",23,643,93,713,Medina,Natural,male,`Urwah ibn al-Zubayr,`Urwah ibn al-Zubayr ibn al-`Awwam,student,"53, 11455","11013, 11065",Nephew of Aishah bint Abi Bakr,,Follower,https://isnad.io/hadith/177
