scholar_indx,name,grade,parents,spouse,siblings,children,birth_date_place,places_of_stay,death_date_place,teachers,students,area_of_interest,tags,books,students_inds,teachers_inds,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,gender,simplename,fullname,info,generation
1,Prophet Muhammad(saw) ( محمّد صلّی اللہ علیہ وآلہ وسلّم ( رضي الله عنه,Rasool Allah,'Abdullah ibn 'Abd al-Muttalib [9991] / Amina bint Wahb b 'Abd Munaf bin Zuhrah,"Khadijah [51] , Sawda bint Zam'a [52] , 'Aisha bint Abi Bakr [53] , Hafsa bint Umar [54] , Zaynab bint Khazeemah [55] , Umm Salamah [56] , Zaynab bint Jahsh [57] , Juwayriya bint al-Harith [58] , Umm Habibah bint Abi Sufyan [59] , Safiyya bint Huyayy [60] , Maymuna bint al-Harith [61] , Maria al-Qibtiyya [62]",NA,"al-Qasim bin Muhammad [516] , Zaynab bint Muhammad [97] , Ruqayyah bint Muhammad [102] , Umm Kulthum bint Muhammad [94] , Fatima bint Muhammad [63] , 'Abdullah bin Muhammad [517] , Ibrahim bin Muhammad [518]",53 BH/570 CE (9th Rabi' awwal) (Makkah),"Makkah, Medina",11 AH/632 CE (12th Rabi' awwal (Medina)[ Natural ],NA,"Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Talha ibn 'Ubaidullah [6] , Zubayr ibn al-Awwam [7] , 'Abdur Rahman Ibn 'Awf [8] , Sa'd ibn Abi Waqqas [9] , Abu 'Ubaidah ibn al-Jarrah [10] , ibn Mas'ud [16] , ibn Abbas [17] , ibn Umar [18] , Anas bin Malik [19] , 'Aisha bint Abi Bakr [53] , Umm Salamah [56]","Tafsir/Quran, Recitation/Quran, Hadith, Commander, Reformer","Quraish [Quraish] , B.Hashim [B.Hashim] , Prophet [Prophet] , Rasool [Rasool] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq]",NA,"2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 53, 56",NA,"9th Rabi' awwal, Makkah","['53 BH', '570 CE']",53,570,11,632,12th Rabi' awwal (Medina,Natural,male,Prophet Muhammad,"Prophet Muhammad, peace and blessings be upon him",,
2,Abu Bakr As-Siddique ( أبو بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],Abu Quhafa Uthman bin 'Amir [500] / Salma Umm-ul-Khair [501],"Qutaylah bint Abdul-'Uzza, Umm Ruman [91] , Asma bint 'Umays [69] , Habiba bint Kharijah ibn Zayd [203]","Quafah ibn Uthman, Mu'taq, Utaiq","Asma' bint Abi Bakr [70] , 'Abdullah bin Abi Bakr [110] , 'Aisha bint Abi Bakr [53] , 'Abdur Rahman bin Abi Bakr [107] , Muhammad ibn Abi Bakr [168] , Umm Khultum bint Abi Bakr [10500]",51 BH/573 CE (Makkah),"Makkah, Medina",13 AH/634 CE (Medina)[ Natural ],"Muhammad (saw) [1] ,","'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , 'Abdur Rahman Ibn 'Awf [8] , Zayd ibn Thabit [49] , 'Aisha bint Abi Bakr [53] , 'Abdur Rahman bin Abi Bakr [107] , Muhammad ibn Abi Bakr [168] , ibn Abbas [17] , 'Abdullah ibn al-Zubayr [106] , ibn Umar [18] , 'Abdullah bin 'Amr bin al-'Aas [29] , Anas bin Malik [19] , Jabir ibn 'Abdullah [34] , al-Bara' bin Azib bin al-Harith [400] , Abu Sa'id al-Khudri [38] , Abu Hurairah [13] , Tariq bin Shahab [3680] , 'Uqba binal-Harith bin 'Amir [872] , Abu al-Tufayl, 'Amir bin Wathla [3660] , 'Abdur Rahman bin 'Asayla al-Sanabahi [11194] , Aslam Client Of 'Umar [11416] , Qays bin Abi Hazim [11046] , Awsat al-Bajli [17003] , others","Tafsir/Quran, Recitation/Quran, Narrator [ ع  -  صحابة ], Commander, Khalifah","Quraish [Quraish] , B.Taym [B.Taym] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Scribe [Scribe] , Promised Paradise [Promised%20Paradise]",NA,"3, 4, 5, 8, 49, 53, 107, 168, 17, 106, 18, 29, 19, 34, 400, 38, 13, 3680, 872, 3660, 11194, 11416, 11046, 17003",1,Makkah,"['51 BH', '573 CE']",51,573,13,634,Medina,Natural,male,Abu Bakr as-Siddiq,Abu Bakr as-Siddiq,First caliph and father-in-law of the Prophet,
3,'Umar ibn al-Khattab ( عمر بن الخطاب بن نفيل ( رضي الله عنه,Comp.(RA) [1st Generation],Khattab ibn Nufayl / Hantamah bint Hisham Makhzumi,"Zaynab bint Maz'un [124] , Umm Kulthum bint 'Amr (Jarwal) [186] , Qaraybah bint Abi Umayyah al-Sugra [81] , Jamila bint Thabit ibn Abi al-Aflah [564] , 'Atikah bint Zayd [196] , Umm Kulthum bint 'Ali bin Abi Talib [99] , Umm Hakim [93] , Umm Walad(Lihayyah), Umm Walad(Fakhihah)","Zayd ibn al-Khattab [114] , Fatima bint al-Khattab [78] , Safiyah bint al-Khattab [445]","ibn Umar [18] , Hafsa bint Umar [54] , 'Abdur Rahman bin 'Umar (Akbar) [560] , 'Ubaidallah bin 'Umar [561] , Zayd bin 'Umar [562] , 'Asim bin 'Umar [563] , 'Iyad bin 'Umar [10577] , Zaid (older) bin 'Umar [10575] , Ruqayyah bint 'Umar [10576] , Fatima bint 'Umar [10578] , 'Abdur Rahman(middle), 'Abdur Rahman(younger), Zainab bint 'Umar [10579]",41 BH/582 CE (Makkah),"Makkah, Medina",23 AH/645 CE (Medinah)[ Martyred  ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2]","Hafsa bint Umar [54] , ibn Umar [18] , 'Asim bin 'Umar [563] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Talha ibn 'Ubaidullah [6] , Sa'd ibn Abi Waqqas [9] , 'Abdur Rahman Ibn 'Awf [8] , Ubayy ibn Ka'b [39] , ibn Mas'ud [16] , Mu'awiya ibn Abu Sufyan [27] , 'Amr bin al-'Aas [28] , Zayd ibn Thabit [49] , 'Abdullah bin 'Amr bin al-'Aas [29] , 'Abdullah ibn al-Zubayr [106] , ibn Abbas [17] , 'Aisha bint Abi Bakr [53] , Anas bin Malik [19] , al-Bara' bin Azib bin al-Harith [400] , Abu Hurairah [13] , Abu Musa al-Asha'ari [41] , 'Uqba bin 'Amir al-Juhayni [189] , Abu Qatada ibn Rab'i [391] , 'Adi ibn Hatim al-Tayyi' [212] , Hudhayfah ibn al-Yaman [145] , Ash'uth bin Qays [485] , al-Nu'man bin Bashir ibn Sa'd [274] , Jarir bin 'Abdullah al-Bajli [4057] , Ka'b bin 'Ajra al-Salmi, al-Ansari [4052] , al-Miswar bin Makhrama bin Nawfal [2201] , Sufyan bin 'Abdullah bin Rabi'a [5066] , Shayba bin 'Uthman [2801] , 'Abdullah bin 'Unays al-Juhani [1048] , Hamza bin 'Amr al-Aslami [4123] , Naf' bin Abd al-Harith [5309] , Fadala bin 'Ubaid bin Naqid [1935] , Abu Umamah Or Abu Umayya [15659] , others","Tafsir/Quran, Recitation/Quran, Narrator [ ع  -  صحابة ], Commander, Khalifah","Quraish [Quraish] , B.'Adi [B.'Adi] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Scribe [Scribe] , Promised Paradise [Promised%20Paradise]",NA,"54, 18, 563, 4, 5, 6, 9, 8, 39, 16, 27, 28, 49, 29, 106, 17, 53, 19, 400, 13, 41, 189, 391, 212, 145, 485, 274, 4057, 4052, 2201, 5066, 2801, 1048, 4123, 5309, 1935, 15659","1, 2",Makkah,"['41 BH', '582 CE']",41,582,23,645,Medinah,Martyred,male,`Umar ibn al-Khattab,`Umar ibn al-Khattab,Second caliph,
4,'Uthman ibn 'Affaan ( عثمان بن عفان ( رضي الله عنه,Comp.(RA) [1st Generation],'Affan ibn Abi al-'As / Arwa bint Kuraiz bin Rabi'a [426],"Ruqayyah bint Muhammad [102] , Umm Kulthum bint Muhammad [94] , Fakhitah bint Ghazwan [576] , Ramlah bint Shayba bin Rabi'a [572] , Umm 'Amr bint Jundub al-Dausi [573] , Fatima bint al-Walid b. 'Abd Shams [574] , Na'ilah bint al-Furafisah [575]",Amnah bint Affaan [570],"'Abdullah bin 'Uthman [571] , 'Abdullah bin 'Uthman(younger) [10580] , 'Aishah bint 'Uthman [10590] , Umm Aban bint 'Uthman [10591] , Umm 'Amr bint 'Uthman [10592] , 'Amr bin 'Uthman [10581] , Aban bin 'Uthman [10582] , 'Umar bin 'Uthman [10583] , Khalid bin 'Uthman [10584] , Maryam bint 'Uthman [10585] , al-Walid bin 'Uthman [10586] , Sa'id bin 'Uthman [10587] , Umm 'Uthman bint 'Uthman [10588] , Umm Khalid bint 'Uthman [10593] , Arwa bint 'Uthman [10594] , Umm Aban bint 'Uthman(younger) [10595] , Maryam bint 'Uthman (younger) [10596]",47 BH/579 CE (Ta'if),"Makkah, Abyssinia, Medinah",35 AH/655 CE (Medinah)[ Martyred  ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3]","Aban bin 'Uthman [10582] , Sa'id bin 'Uthman [10587] , ibn Mas'ud [16] , Zayd ibn Thabit [49] , 'Imran bin Husain [123] , Abu Qatada ibn Rab'i [391] , Abu Hurairah [13] , Anas bin Malik [19] , ibn Mas'ud [16] , ibn Abbas [17] , 'Abdullah ibn al-Zubayr [106] , Marwan bin al-Hakam bin Abi al-'As [858] , Salma ibn al-Akwa [237] , Abu Umama al-Bahili [4048] , Abu Umama bin Sahl [405] , 'Abdur Rahman ibn al-Harith [448] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Tariq bin Shahab [3680] , Malik bin Aws bin al-Hadathan [5030] , 'Abdur Rahman bin Abi 'Amra [1238] , 'Ubaidullah bin 'Ady bin al-Khayyar [880] , Sa'id bin al-'As bin Sa'id bin al-'As [989] , Mahmud bin Labid bin 'Uqba [1830] , Sa'id ibn al-Musayyib [11002] , al-Ahnaf bin Qays [11112] , Abu Salama bin 'Abdur Rahman [10567] , Shaqayq bin Salmah al-Asadi [11353] , Abu 'Abdur Rahman al-Salmi [11359] , 'Alqama bin Qays [11017] , 'Abdullah bin Shaqayq al-Aqayli [10694] , Muhammad bin 'Ali bin al-Hanfiyyah [10600] , 'Amr bin Sa'id bin al-As [10602] , Hamran bin Aban [11421] , Hani al-Bariri [19103] , Abu Salah Maula 'Uthman [19291] , Abu Sahlah Maula 'Uthman [19282] , others","Tafsir/Quran, Narrator [ ع  -  صحابة ], Fiqh, Commander, Khalifah","Quraish [Quraish] , B.'Abd Shams [B.'Abd%20Shams] , B.Umayya [B.Umayya] , Early Muslim [Early%20Muslim] , Abyssinia 1 [Abyssinia%201] , Abyssinia 2 [Abyssinia%202] , Promised Paradise [Promised%20Paradise] , Emigrant [Emigrant] , Scribe [Scribe]",NA,"10582, 10587, 16, 49, 123, 391, 13, 19, 16, 17, 106, 858, 237, 4048, 405, 448, 3048, 3680, 5030, 1238, 880, 989, 1830, 11002, 11112, 10567, 11353, 11359, 11017, 10694, 10600, 10602, 11421, 19103, 19291, 19282","1, 2, 3",Ta'if,"['47 BH', '579 CE']",47,579,35,655,Medinah,Martyred,male,`Uthman ibn `Affan,`Uthman ibn `Affan,Third caliph and son-in-law of the Prophet,
5,Ali ibn Abi Talib ( علي بن أبي طالب بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],Abu Talib ibn 'Abd al-Muttalib [9992] / Fatima bint Asad [77],"Fatima bint Muhammad [63] , Khawlah bint Ja'far [565] ,  [566] , Asma bint 'Umays [69] , Umm Walad(s)","Talib ibn Abi Talib [164] , 'Aqeel ibn Abi Talib [165] , Ja'far ibn Abi Talib [21] , Umm Hani bint Abi Talib [198] , Jumanah bint Abi Talib [199]","Hassan ibn Ali bin Abi Talib [30] , Hussain ibn 'Ali ibn Abi Talib [31] , Zaynab bint 'Ali bin Abi Talib [98] , Umm Kulthum bint 'Ali bin Abi Talib [99] , Muhammad bin 'Ali bin al-Hanfiyyah [10600] , al-Abbas, 'Umar bin 'Ali bin Abi Talib [19933] , Ja'far, 'Uthman, Yahya (died young), Fatima bint 'Ali bin Abi Talib [19508] , others",23 BH/600 CE (13 Rajab) (Makkah),"Makkah, Medina, kufa",40 AH/661 CE (21 Ramadhan) (Kufa)[ Martyred  ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Fatima bint Muhammad [63] , al-Miqdad ibn al-Aswad [163]","Hassan ibn Ali bin Abi Talib [30] , Hussain ibn 'Ali ibn Abi Talib [31] , ibn Mas'ud [16] , al-Bara' bin Azib bin al-Harith [400] , Abu Hurairah [13] , Abu Sa'id al-Khudri [38] , Suhayb bin Sinan ar-Rumi [182] , Safinah [438] , ibn Abbas [17] , ibn Umar [18] , 'Abdullah ibn al-Zubayr [106] , 'Abdullah ibn Ja'far [108] , Jabir ibn 'Abdullah [34] , Jabir bin Samra [393] , Zayd bin Arqam [384] , Abu Musa al-Asha'ari [41] , Abu Umama bin Sahl [405] , Abu Layla [1937] , Ja'dah bin Hubayra bin Abi Wahb [2080] , Bashr bin Sahaym [4081] , 'Amr bin Hurayth bin 'Amr bin 'Uthman [5202] , Abu Juhayfa al-Sawai' [4047] , Mas'ud bin al-Hakam bin al-Rabi' [1546] , Abu al-Tufayl, 'Amir bin Wathla [3660] , Muhammad bin 'Ali bin al-Hanfiyyah [10600] , 'Umar bin 'Ali bin Abi Talib [19933] , Fatima bint 'Ali bin Abi Talib [19508] , 'Ali bin al-Husain bin 'Ali [11045] , Umm Musa [19566] , al-Nazal bin Sabra [11659] , People of Kufa, Others","Tafsir/Quran, Recitation/Quran, Narrator [ ع  -  صحابة ], Commander, Khalifah","Quraish [Quraish] , B.Hashim [B.Hashim] , Cousin [Cousin] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khaybar [Khaybar] , Scribe [Scribe] , Promised Paradise [Promised%20Paradise]",NA,"30, 31, 16, 400, 13, 38, 182, 438, 17, 18, 106, 108, 34, 393, 384, 41, 405, 1937, 2080, 4081, 5202, 4047, 1546, 3660, 10600, 19933, 19508, 11045, 19566, 11659","1, 2, 3, 63, 163","13 Rajab, Makkah","['23 BH', '600 CE', '13 R']",23,600,40,661,"21 Ramadhan, Kufa",Martyred,male,`Ali ibn Abi Talib,`Ali ibn Abi Talib,Fourth caliph and cousin and son-in-law of the Prophet,
6,Talha ibn 'Ubaidullah ( طلحة بن عبيد الله ( رضي الله عنه,Comp.(RA) [1st Generation],'Ubaidullah b. 'Uthman b. 'Amr / as-Sa'bah bint al-Hadrami [585],"Hamnah bint Jahsh [72] , Khawla bint al-Qa'Qa' [580] , Umm Aban bint 'Utba b. Rabi'a [581] , Umm Khultum bint Abi Bakr [10500] , Suada bint 'Auf al-Murriya [582] , al-Jarba' bint Qasama al-Tayyi' [583]",'Uthman bin 'Ubaidullah [2704],"Muhammad As-Sajjad ibn Talha [577] , 'Imran ibn Talha [578] , Musa ibn Talha [579] , Ya'qub ibn Talha [10597] , Isma'il ibn Talha [10598] , Ishaq ibn Talha [10599] , Zakariyya bin Talha [10502] , Yusuf ibn Talha [10503] , 'Aisha bint Talha [10504] , 'Isa bin Talha bin 'Ubaidullah [10573] , Yahya ibn Talha [10574] , Umm Ishaq",28 BH/596 CE (Makkah),"Makkah, Medinah",36 AH/656 CE (Medinah)[ Martyred(Jamal) ],"Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3]","Muhammad As-Sajjad ibn Talha [577] , 'Imran ibn Talha [578] , Musa ibn Talha [579] , Isma'il ibn Talha [10598] , 'Isa bin Talha bin 'Ubaidullah [10573] , Yahya ibn Talha [10574] , 'Aisha bint Talha [10504] , Jabir ibn 'Abdullah [34] , 'Abdur Rahman bin 'Uthman [2705] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Rabi'a bin 'Abdullah bin al-Hudayr [2711] , 'Abdullah ibn Shaddad [169] , Abu Salama bin 'Abdur Rahman [10567] , Qays bin Abi Hazim [11046] , Malik bin Aws bin al-Hadathan [5030] , Abu 'Uthman al-Nahdi [11113] , Malik bin Abi 'Amir [11443] , Others","Recitation/Quran, Narrator [ ع  -  صحابة ], Commander","Quraish [Quraish] , B.Taym [B.Taym] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Uhud [Uhud] , Khandaq [Khandaq] , Promised Paradise [Promised%20Paradise]",NA,"577, 578, 579, 10598, 10573, 10574, 10504, 34, 2705, 3048, 2711, 169, 10567, 11046, 5030, 11113, 11443","1, 2, 3",Makkah,"['28 BH', '596 CE']",28,596,36,656,"Medinah, Jamal",Martyred,male,Talha ibn `Ubaydillah,Talha ibn `Ubaydillah,,
7,Zubayr ibn al-Awwam ( الزبير بن العوام بن خويلد ( رضي الله عنه,Comp.(RA) [1st Generation],Awwam ibn Khuwaylid bin Asad bin 'Abdul-'Uzza / Safiyya bint âAbd al-Muttalib [85],"Asma' bint Abi Bakr [70] , Umm Khalid bin Khalid ibn Sa'id [740] , Umm Kulthum bint 'Uqba [95] , al-Rabab bnt Unaif, Zainab bint Bishr, al-Halal bint Qays, Tumadir bint al-Asbagh Kalbia [593]","al-Saib bin al-'Awwam bin Khuwaylid [439] , Zaynab bint al-'Awwam bin Khuwaylid [431] , Umm Habib bint al-'Awwam bin Khuwaylid [436] , 'Abdur Rahman bin al-'Awwam [2310] , 'Ubaidullah bin al-'Awwam [2311] , Bujayr bin al-'Awwam bin Khuwaylid [2312]","'Abdullah ibn al-Zubayr [106] , al-Mundhir bin al-Zubayr [10510] , 'Urwa ibn al-Zubayr [10511] , ''Asim ibn al-Zubayr [10512] , al-Muhajir ibn al-Zubayr [10513] , Khadija al-Kubra bint al-Zubayr [10514] , Ummul Hasan bint al-Zubayr [10515] , 'Aisha bint al-Zubayr [10516] , Khalid bin al-Zubayr [10548] , 'Amr bin al-Zubayr [10549] , Habibah bint al-Zubayr [10550] , Sawda bint al-Zubayr [10551] , Hind bint al-Zubayr [10552] , Zainab ibn al-Zubayr [10546] , Mus'ab ibn al-Zubayr [10540] , Hamza bin al-Zubayr [10541] , Ramla bint al-Zubayr [10542] , 'Ubaida bin al-Zubayr [10543] , Ja'far bin al-Zubayr [10544] , Hafsa bint al-Zubayr [10545] , Khadija al-Sughra bint al-Zubayr [10547]",28 BH/596 CE (Makkah),"Makkah, Medinah",36 AH/656 CE (Medinah)[ Martyred[Jamal] ],"Muhammad (saw) [1] ,","'Abdullah ibn al-Zubayr [106] , 'Urwa ibn al-Zubayr [10511] , al-Ahnaf bin Qays [11112] , Qays bin Abi Hazim [11046] , Malik bin Aws bin al-Hadathan [5030] , Maymun bin Mahran [11012] , Nafi' bin Jubayr bin Mut'im [11059] , others","Recitation/Quran, Narrator [ ع  -  صحابة ], Fiqh, Commander","Quraish [Quraish] , B.Asad [B.Asad] , Early Muslim [Early%20Muslim] , Abyssinia 1 [Abyssinia%201] , Abyssinia 2 [Abyssinia%202] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Promised Paradise [Promised%20Paradise] , Scribe [Scribe]",NA,"106, 10511, 11112, 11046, 5030, 11012, 11059",1,Makkah,"['28 BH', '596 CE']",28,596,36,656,Medinah,Martyred,male,Zubayr ibn al-`Awwam,Zubayr ibn al-`Awwam,Companion of the Prophet and husband of Asma bint Abi Bakr,
8,Abdur Rahman Ibn 'Awf ( عبد الرحمن بن عوف ( رضي الله عنه,Comp.(RA) [1st Generation],'Awf b. 'Abd 'Awf b. 'Abd b. al-Harith / al-Shifa' bint 'Awf [589],"Umm Kulthum bint 'Utba b. Rabi'a [962] , Umm Kulthum bint 'Uqba [95] , Sahla bint 'Asim bin 'Ady [595] , Bahria bint Hani, Sehlah bint Suhayl [65] , Umm Hakim bint Qariz bin Khalid [596] , bint Abi al-Husayn, Tumadir bint al-Asbagh Kalbia [593] , Asma' bint Salama/Makhrabah [777] , Umm Wald, Badiyya bint Ghilan al-Thaqafi [3258]","'Atika bint 'Awf [590] , al-Shifa' bint 'Awf [591] , 'Abdullah Ibn 'Awf [592] , Halah bint 'Awf [594]","Salim, Muhammad bin 'Abdur-Rahman [588] , Ibrahim bin 'Abdur Rahman [584] , Humaid bin 'Abdur Rahman [10561] , Isma'il, Hamida, Ammatur Rahman, Ma'n, 'Umar bin 'Abdur Rahman bin Awf [10560] , Zayd bin 'Abdur Rahman [10562] , Ammatur Rahman, 'Urwa (Akbar) bin 'Abdur Rahman [10563] , Salim(Asghar) bin 'Abdur Rahman [10564] , Abu Bakr bin 'Abdur Rahman [10566] , 'Abdullah bin 'Abdur Rahman [10565] , Abu Salama bin 'Abdur Rahman [10567] , 'Abdur Rahman bin 'Abdur Rahman [10568] , Mus'ub bin 'Abdur Rahman [10569] , Suhayl, Jawayriya",~43 BH/580 CE (est.) (Makkah),"Makkah, Abyssinia, Medinah",32 AH/654 CE (Medianh)[ Natural ],"Muhammad (saw) [1] , 'Umar ibn al-Khattab [3]","Ibrahim bin 'Abdur Rahman [584] , Humaid bin 'Abdur Rahman [10561] , 'Umar bin 'Abdur Rahman bin Awf [10560] , Mus'ub bin 'Abdur Rahman [10569] , Abu Salama bin 'Abdur Rahman [10567] , al-Maswar bin Ibrahim [18999] , al-Miswar bin Makhrama bin Nawfal [2201] , ibn Abbas [17] , ibn Umar [18] , Jabir ibn 'Abdullah [34] , Jubayr bin Mut'im [871] , Anas bin Malik [19] , Bjalh bin Abd'h al-Tmymy al-Nbry [11577] , Malik bin Aws bin al-Hadathan [5030] , Nawful bin Iyas al-Hdhly [12551] , Rdad al-Lythy Wqal B'd'hm Abu [13510] , 'Abdullah bin 'Amir bin Rabi'a [709] , Muhammad bin Jubayr bin Mut'im [11058]","Recitation/Quran, Narrator [ ع  -  صحابة ], Commander","Quraish [Quraish] , B.Zuhrah [B.Zuhrah] , Early Muslim [Early%20Muslim] , Abyssinia 1 [Abyssinia%201] , Abyssinia 2 [Abyssinia%202] , Emigrant [Emigrant] , Badr [Badr] , Promised Paradise [Promised%20Paradise] , Baqi' [Baqi']",NA,"584, 10561, 10560, 10569, 10567, 18999, 2201, 17, 18, 34, 871, 19, 11577, 5030, 12551, 13510, 709, 11058","1, 3","est., Makkah","['43 BH', '580 CE']",43,580,32,654,Medianh,Natural,male,`Abdur-Rahman Ibn `Awf,`Abdur-Rahman Ibn `Awf,,
9,Sa'd ibn Abi Waqqas ( سعد بن أبي وقاص ( رضي الله عنه,Comp.(RA) [1st Generation],Malik bin Uhaib bin 'Abd Manaf / Hamnah bint Sufyan bin Umayyah bin 'Abd Shams,"bint Shihab bin 'Abdullah, Maria bint Qays, Umm 'Amir, Umm Hakim bint Qariz bin Khalid [596] , Others","'Amir ibn Abi Waqqas [175] , 'Umayr ibn Abi Waqqas [822] , 'Utba ibn Abi Waqqas [2240]","Ishaq bin Sa'd ibn Abi Waqqas [597] , Umm Hakam, 'Umar bin Sa'd ibn Abi Waqqas [598] , Muhammad bin Sa'd ibn Abi Waqqas [10553] , Umm Qasim, Umm Khultum, 'Amir bin Sa'd ibn Abi Waqqas [10554] , Isma'il bin Sa'd ibn Abi Waqqas [10555] , Mus'ub bin Sa'd ibn Abi Waqqas [10556] , Ibrahim bin Sa'd ibn Abi Waqqas [10557] , Ya'qub bin Sa'd ibn Abi Waqqas [10558] , 'Aisha bint Sa'd ibn Abi Waqqas [10559] , Yahya bin Sa'd ibn Abi Waqqas [10537] , Salih, 'Abdullah bin Sa'd ibn Abi Waqqas [10534] , 'Abdur Rahman, 'Umayr bin Sa'd ibn Abi Waqqas [10538] , 'Amr bin Sa'd ibn Abi Waqqas [10539] , Others",39 BH/584 CE (Makkah),"Makkah, Medina, Kufa",55 AH/664 CE ((Al-'Atiq) Medina)[ Natural ],"Muhammad (saw) [1] , Khawlah bint Hakim [76]","'Umar bin Sa'd ibn Abi Waqqas [598] , Muhammad bin Sa'd ibn Abi Waqqas [10553] , 'Amir bin Sa'd ibn Abi Waqqas [10554] , Isma'il bin Sa'd ibn Abi Waqqas [10555] , Mus'ub bin Sa'd ibn Abi Waqqas [10556] , Ibrahim bin Sa'd ibn Abi Waqqas [10557] , Ya'qub bin Sa'd ibn Abi Waqqas [10558] , 'Aisha bint Sa'd ibn Abi Waqqas [10559] , 'Aisha bint Abi Bakr [53] , ibn Umar [18] , ibn Abbas [17] , Jabir bin Samra [393] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Tha'laba bin Sa'ayr [5003] , Malik bin Aws bin al-Hadathan [5030] , Ibrahim bin 'Abdur Rahman [584] , Abu 'Uthman al-Nahdi [11113] , Abu 'Abdur Rahman al-Salmi [11359] , 'Alqama bin Qays [11017] , Basr bin Sa'id al-Madni [11153] , al-Ahnaf bin Qays [11112] , Sharih bin Hani' al-Harithi [10774] , 'Amr bin Maymun al-Aw'di [11382] , Mujahid bin Jabir [11028] , Dinar Abu 'Abdullah al-Qaraz [11846] , Ghnym bin Qays al-Mazny [10710] , Others","Recitation/Quran, Narrator [ ع  -  صحابة ], Fiqh, Commander","Quraish [Quraish] , B.Zuhrah [B.Zuhrah] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Baqi' [Baqi'] , Promised Paradise [Promised%20Paradise]",NA,"598, 10553, 10554, 10555, 10556, 10557, 10558, 10559, 53, 18, 17, 393, 3048, 5003, 5030, 584, 11113, 11359, 11017, 11153, 11112, 10774, 11382, 11028, 11846, 10710","1, 76",Makkah,"['39 BH', '584 CE']",39,584,55,664,(Al-'Atiq,Natural,male,Sa`d ibn Abi Waqqas,Sa`d ibn Abi Waqqas,,
10,Abu 'Ubaidah ibn al-Jarrah ( أبو عبيدة بن الجراح ( رضي الله عنه,Comp.(RA) [1st Generation],'Abdullah ibn al-Jarrah / Umm Ghanm bint Jabir bin 'Abdul-'Uzza,"Hind bint Jabar, Warja",Yazid ibn 'Abdullah ibn al-Jarrah [599],"Yazid and 'Ubaidah, 'Umair",40 BH/584 CE (Makkah),"Makkah, Medina, Syria","18 AH/640 CE ('Amawas, Palestine)[ Natural/Plague ]","Muhammad (saw) [1] ,","Jabir ibn 'Abdullah [34] , Samra bin Jundub [394] , 'Abdur Rahman bin Ghnm [5152] , Abu Umama al-Bahili [4048] , 'Arbad bin Sariyya al-Salmi [5172] , Abu Tha'laba al-Khushni [4056] , Abu Muslim al-Khulani [11026] , Aslam Client Of 'Umar [11416] , Qays bin Abi Hazim [11046] , 'Abdullah bin Saraqa al-Azdi [14212] , Nashrah bin Sami al-Yazni [16105]","Recitation/Quran, Commander, Narrator [ ع  -  صحابة ]","Quraish [Quraish] , B.Fihr [B.Fihr] , Promised Paradise [Promised%20Paradise] , Abyssinia 2 [Abyssinia%202] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr]",NA,"34, 394, 5152, 4048, 5172, 4056, 11026, 11416, 11046, 14212, 16105",1,Makkah,"['40 BH', '584 CE']",40,584,18,640,"'Amawas, Palestine",Natural,male,Abu `Ubaydah ibn al-Jarrah,Abu `Ubaydah ibn al-Jarrah,,
